Epsilon,GT,UB_GPM
1.000000000000000000e+00,0.000000000000000000e+00,4.428259750526462590e-01
1.500000000000000000e+00,0.000000000000000000e+00,3.582127350246958053e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.831228438186285667e-01
2.500000000000000000e+00,0.000000000000000000e+00,2.194463664922146617e-01
3.000000000000000000e+00,0.000000000000000000e+00,1.683517565616940437e-01
3.500000000000000000e+00,0.000000000000000000e+00,1.281861859473882315e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.794716189969715492e-02
4.500000000000000000e+00,0.000000000000000000e+00,7.500804371723696073e-02
5.000000000000000000e+00,0.000000000000000000e+00,5.763542945233912640e-02
5.500000000000000000e+00,0.000000000000000000e+00,4.444125821748984295e-02
6.000000000000000000e+00,0.000000000000000000e+00,3.407998961963260021e-02
6.500000000000000000e+00,0.000000000000000000e+00,2.640179657917385292e-02
7.000000000000000000e+00,0.000000000000000000e+00,2.052215686839703457e-02
7.500000000000000000e+00,0.000000000000000000e+00,1.590532925378973506e-02
8.000000000000000000e+00,0.000000000000000000e+00,1.240695968868654742e-02
