x,PM,Optimal
-1.0,0.24135388698876997,0.1424005237783565
-0.9310344827586207,0.2205096824846529,0.13261045816136724
-0.8620689655172413,0.2011543497308298,0.12441564124199128
-0.7931034482758621,0.18328788872730073,0.11685119479277196
-0.7241379310344828,0.16691029947406588,0.10991711887719906
-0.6551724137931034,0.15202158197112497,0.10361341349887047
-0.5862068965517242,0.1386217362184783,0.09794007865824388
-0.5172413793103449,0.12671076221612562,0.09289711435545635
-0.4482758620689655,0.11628865996406701,0.08848452059051466
-0.3793103448275862,0.10735542946230245,0.08470229736341582
-0.31034482758620685,0.09991107071083208,0.08155044467416103
-0.24137931034482762,0.09395558370965573,0.07902896252274953
-0.1724137931034483,0.0894889684587735,0.07713785090917548
-0.10344827586206895,0.0865112249581853,0.07587710983345511
-0.034482758620689724,0.08502235320789123,0.07524673929565917
0.034482758620689724,0.08502235320789123,0.07524673929565917
0.10344827586206895,0.0865112249581853,0.0758771098334551
0.17241379310344818,0.0894889684587735,0.07713785090917548
0.24137931034482762,0.09395558370965573,0.07902896252274953
0.31034482758620685,0.09991107071083208,0.08155044467416105
0.3793103448275863,0.1073554294623025,0.08470229736341582
0.4482758620689655,0.11628865996406701,0.08848452059051468
0.5172413793103448,0.12671076221612557,0.09289711435545633
0.5862068965517242,0.1386217362184783,0.09794007865824389
0.6551724137931034,0.15202158197112497,0.10361341349887046
0.7241379310344827,0.16691029947406585,0.10991711887719907
0.7931034482758621,0.18328788872730073,0.11685119479277195
0.8620689655172413,0.20115434973082982,0.12441564124199128
0.9310344827586206,0.2205096824846529,0.13261045816136727
