Epsilon,PurKayastha,OGPM
1.0,1.313258906728736,1.1860789923537867
1.25,1.2517640789734195,1.0953009967007583
1.5,1.1920765466225758,1.0078898426112595
1.75,1.1344481291818291,0.924303595948702
2.0,1.0790816501753548,0.8449042051834939
2.25,1.0261302218925448,0.7699572775865544
2.5,0.9756985995302185,0.6996332227085773
2.75,0.9278462370504801,0.6340149372750341
3.0,0.8825916160199474,0.5731066862416521
3.25,0.839917407850383,0.5168437120545297
3.5,0.7997760594513691,0.46510399054477425
3.75,0.7620954497563782,0.41771948101924394
4.0,0.7267843371432381,0.374487024934421
4.25,0.6937373943914669,0.3351783869697602
4.5,0.6628397001716525,0.299549179273356
4.75,0.6339706187857347,0.267346535443739
5.0,0.6070070502998247,0.23831550189464323
5.25,0.581826070775711,0.21220418948377073
5.5,0.5583070079079812,0.18876777959069102
5.75,0.536333012744586,0.1677715094015717
6.0,0.5157921953923362,0.1489924779593501
6.25,0.49657839377092394,0.1322224976512132
6.5,0.478591641456037,0.11726587588690762
6.75,0.4617383950063606,0.10394266746797598
7.0,0.44593157412007944,0.09208708961399026
7.25,0.43109046040936905,0.08154744350439813
7.5,0.4171404931322649,0.07218553733335398
7.75,0.4040129932709546,0.0638759727166871
8.0,0.39164484111303427,0.056505695827269165
