Epsilon,GPM,Staircase,Truncated Laplace
1.0,0.37754066879814546,0.959517375667472,0.3934693402873666
1.25,0.3486451353339457,0.7501962538269588,0.3717908571848078
1.5,0.3208213008246071,0.6080382176134753,0.3517556315059902
1.75,0.2942149721629888,0.5045374887102778,0.33322170304085236
2.0,0.2689414213699951,0.4254590641196608,0.31606027941427883
2.25,0.24508501313237163,0.3629020634364523,0.30015445895184456
2.5,0.22270013882530887,0.3121256286591609,0.285398081255924
2.75,0.20181322226037884,0.2701069557851456,0.2716946924346376
3.0,0.18242552380635632,0.23482122029761232,0.2589566132838568
3.25,0.1645164628965632,0.20485475609223094,0.24710409993717103
3.5,0.14804719803168948,0.1791848572894893,0.2360645875855871
3.75,0.13296424019782924,0.1570483909913584,0.22577200884135243
4.0,0.11920292202211757,0.13786028238589162,0.21616617919084685
4.25,0.1066905939456512,0.1211612405425227,0.20719224276077186
4.5,0.0953494648991095,0.10658325760159505,0.1988001723195857
4.75,0.08509904500702023,0.09382624528693932,0.19094431806091292
5.0,0.07585818002124356,0.08264183492754779,0.18358300027522023
5.25,0.0675466911396291,0.07282189124844085,0.1766781415172854
5.5,0.06008665017400762,0.06419019184938718,0.17019493432605318
5.75,0.05340332979982425,0.05659627303474637,0.16410154095586482
6.0,0.04742587317756678,0.04991078483441137,0.1583688219386893
6.25,0.04208772791561885,0.04402191591306647,0.15297009062025482
6.5,0.037326887344129464,0.038832590269898624,0.14788089110281197
6.75,0.03308597838870414,0.03425823057569148,0.14307879728716058
7.0,0.02931223075135632,0.030224945004578053,0.1385432309396688
7.25,0.025957357197796845,0.026668036292731307,0.13425529691912338
7.5,0.022977369910025615,0.023530760351777376,0.13019763388586547
7.75,0.020332353342658753,0.02076328150232475,0.12635427898403878
8.0,0.017986209962091555,0.018321785162932806,0.12271054513890822
