Epsilon,SW,SW-C,PM,PM-C,Unbias-GPM,Optimal
1.0,0.2865247730892767,0.22477402094725768,1.3058993630109206,0.22087152733041573,5.024510604065506,0.21729866148609053
1.25,0.24700591122169832,0.20330873680256373,0.8260897939886436,0.19725066537266553,3.1414778494930937,0.19279234781317373
1.5,0.2152323765737525,0.18412352028174292,0.5655789633587003,0.17555797165006432,2.1246603182055868,0.17026247913000944
1.75,0.18944658548725843,0.16710636361673636,0.40862827745813846,0.15577995728424174,1.515814774661154,0.1497142350897589
2.0,0.16832567810282006,0.15210272725048146,0.30689119806926424,0.13786679920900724,1.123886292716866,0.13111455149037793
2.25,0.15086714973295481,0.13893161675228322,0.2372699933520055,0.1217394468188538,0.8577599045902333,0.11439629947316277
2.5,0.13630609716341818,0.12739991483512086,0.1875981397520008,0.10729694749697749,0.6695208230660603,0.09946719852193392
2.75,0.12405496886816877,0.11731407355247045,0.15097190527844534,0.09442345853953762,0.53202235421938,0.08621530574170881
3.0,0.11365942736116802,0.1084888133651397,0.12323682469285735,0.08299455575946778,0.4289526867101051,0.07451656496613596
3.25,0.10476581594777754,0.10075291159462074,0.10177089356899885,0.07288259867485186,0.3500326488718625,0.06424028165380513
3.5,0.09709703352577757,0.09395245421381124,0.08485269250469124,0.06396104790725267,0.28852508960607426,0.055254087379146936
3.75,0.09043453822171486,0.08795207317283146,0.0713138464927805,0.05610773951353377,0.23986652896815502,0.04742754821675472
4.0,0.08460484522835413,0.0826347232612697,0.06033847174719251,0.049207198419779885,0.20087824235720375,0.04063569970104702
4.25,0.07946933957087009,0.07790050520652367,0.05134263198279586,0.04315211987286761,0.16929236932256708,0.034760534050853824
4.5,0.07491654796049717,0.07366495175109583,0.04389930254881161,0.037844168604067516,0.14345700985455345,0.02969287578396876
4.75,0.07085624492172833,0.06985708981784132,0.037690218254831,0.03319424664307798,0.1221469658805152,0.02533256623871078
5.0,0.06721493437575687,0.06641749385751028,0.0324741360219588,0.029122368991171446,0.10443895217572584,0.021589142519368013
5.25,0.06393236785524999,0.06329646342290286,0.028065415678571872,0.02555726736915134,0.08962732489692793,0.018381563414423232
5.5,0.06095884779086065,0.06045239548598376,0.02431925585450618,0.02243582041075825,0.0771659506689812,0.015637364466103053
5.75,0.05825312815346823,0.05785037823511453,0.021121322217269888,0.01970238702241394,0.06662734100226926,0.013294050853717305
6.0,0.05578077171186883,0.055461005055441305,0.018380335167353254,0.017308100023625362,0.0576734332418591,0.011294673579803769
6.25,0.05351285791551914,0.053259391368152297,0.01602268913238268,0.01521016053260572,0.050034378698266394,0.009590939704177542
6.5,0.05142496124453435,0.051224369411509145,0.013988490364535805,0.01337116012724404,0.04349293127560544,0.00814052418312442
6.75,0.04949633915870454,0.04933783391656548,0.012228600623825097,0.01175844744019324,0.0378728146622241,0.006906361753110374
7.0,0.04770928323960745,0.047584212717655255,0.010702404360618206,0.010343548164865948,0.03302995596175389,0.00585782841848818
7.25,0.04604859800348543,0.045950039074230724,0.009376103147981521,0.009101641994394965,0.028845811075620398,0.004966863310841853
7.5,0.044501180081810796,0.044423605851600836,0.008221399037658188,0.008011096321996638,0.02522223436166262,0.004210054184016231
7.75,0.043055676694904295,0.04299468510996033,0.00721446806172905,0.007053054175853398,0.022077500538160738,0.0035680437917717995
8.0,0.041702207080109174,0.041654299763854416,0.006335152486505927,0.00621107248656415,0.019343194716653044,0.0030233303670454195
