Epsilon,SW-C,PM-C,Optimal
1.0,0.22477402094725768,0.22087152733041573,0.21729866040823076
1.25,0.20330873680256373,0.19725066537266553,0.1927924121232502
1.5,0.18412352028174292,0.17555797165006432,0.17026251747503773
1.75,0.16710636361673636,0.15577995728424174,0.1497142555712087
2.0,0.15210272725048146,0.13786679920900724,0.13111450677207928
2.25,0.13893161675228322,0.1217394468188538,0.11439637573438298
2.5,0.12739991483512086,0.10729694749697749,0.09946714270918866
2.75,0.11731407355247045,0.09442345853953762,0.08621529246930634
3.0,0.1084888133651397,0.08299455575946778,0.07451658731436633
3.25,0.10075291159462074,0.07288259867485186,0.06424024482654811
3.5,0.09395245421381124,0.06396104790725267,0.0552541525871767
3.75,0.08795207317283146,0.05610773951353377,0.04742751697739186
4.0,0.0826347232612697,0.049207198419779885,0.04063565842506801
4.25,0.07790050520652367,0.04315211987286761,0.03476054794782353
4.5,0.07366495175109583,0.037844168604067516,0.029692871416353003
4.75,0.06985708981784132,0.03319424664307798,0.025332523555270103
5.0,0.06641749385751028,0.029122368991171446,0.021589036223271067
5.25,0.06329646342290286,0.02555726736915134,0.01838159115297258
5.5,0.06045239548598376,0.02243582041075825,0.01563736488169341
5.75,0.05785037823511453,0.01970238702241394,0.013294038746404174
6.0,0.055461005055441305,0.017308100023625362,0.011294678763624772
6.25,0.053259391368152297,0.01521016053260572,0.009590904426921508
6.5,0.051224369411509145,0.01337116012724404,0.00814052418312442
6.75,0.04933783391656548,0.01175844744019324,0.00690638772879666
7.0,0.047584212717655255,0.010343548164865948,0.005857824324414408
7.25,0.045950039074230724,0.009101641994394965,0.004966863310841854
7.5,0.044423605851600836,0.008011096321996638,0.004210054184016231
7.75,0.04299468510996033,0.007053054175853398,0.003568043791771799
8.0,0.041654299763854416,0.00621107248656415,0.003023330367039975
